floor_id,seat_number,project_id,request_id,start_time,end_time
F7,7AW53,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW54,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW55,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW56,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW57,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW58,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW59,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
F7,7AW60,Gpro,REQALC-2019-00000020,2019-09-21,2019-09-23
